# Presentation data for the "Grades Supplied" table on each alloy family hub:
# grade order, the link label and target, the Type column and the "Chosen for"
# reason. docs/build-hub-grades.mjs writes the tables from this, joining
# docs/grades.csv for the UNS - so the hub table's UNS can never drift from the
# grade database. One row per (family, grade); every grade a family lists in
# grades.csv should have a row here. chosen_for may contain commas, so fields are
# CSV-quoted. An empty url renders the grade as plain text (no grade page yet).
#
# `family` picks the hub the row appears on. The optional 7th column `uns_family`
# is the grades.csv family the UNS is read from, for the case where a hub lists a
# grade filed under another family - only the three Stellite rows below, which the
# cobalt alloys hub lists but grades.csv files under `stellite`. Leave it empty
# and the UNS is looked up under `family`.
#
# After editing: node docs/build-hub-grades.mjs   then commit the hubs.
# node docs/build-hub-grades.mjs --check reports drift and exits non-zero.
family,grade,label,url,type,chosen_for,uns_family
inconel,600,Inconel 600,/inconel/600/,Solid solution,"Heat and oxidation resistance, chloride stress corrosion"
inconel,601,Inconel 601,/inconel/601/,Solid solution,Aluminium added for higher oxidation resistance
inconel,617,Inconel 617,/inconel/617/,Solid solution,Creep strength above 900 &deg;C
inconel,625,Inconel 625,/inconel/625/,Solid solution,"The general-purpose grade; seawater, chemical and marine"
inconel,625 LCF,Inconel 625 LCF,/inconel/625LCF/,Solid solution,Low cycle fatigue variant for bellows and expansion joints
inconel,686,Inconel 686,/inconel/686/,Solid solution,Higher molybdenum and tungsten for severe wet corrosion
inconel,690,Inconel 690,/inconel/690/,Solid solution,High chromium for nuclear steam generator service
inconel,693,Inconel 693,/inconel/693/,Solid solution,Metal dusting resistance in syngas and reformer service
inconel,718,Inconel 718,/inconel/718/,Age hardened,The workhorse; strength to about 700 &deg;C and weldable
inconel,725,Inconel 725,/inconel/725/,Age hardened,Corrosion resistance of 625 with age-hardened strength
inconel,740H,Inconel 740H,/inconel/740H/,Age hardened,Advanced ultra-supercritical boiler service
inconel,751,Inconel 751,/inconel/751/,Age hardened,Exhaust valves and high-temperature fasteners
inconel,783,Inconel 783,/inconel/783/,Controlled expansion,Oxidation resistant with low thermal expansion
